name,type,country
Aberdalgie,"Other Settlement",Scotland
Aberdare,Town,Wales
Aberdaron,Village,Wales
Aberdaugleddau,Town,Wales
Aberdeen,City,Scotland
Aberdesach,Village,Wales
Aberdour,Village,Scotland
Aberdulais,Village,Wales
Aberdyfi,Village,Wales
Aberedw,Village,Wales
Abererch,Village,Wales
Aberfan,Village,Wales
Aberfeldy,Town,Scotland
Aberffraw,Village,Wales
Aberffrwd,Hamlet,Wales
Aberford,Village,England
Aberfoyle,Village,Scotland
Abergarw,"Suburban Area",Wales
Abergarwed,Village,Wales
Abergeirw,Hamlet,Wales
Abergeldie,Hamlet,Scotland
Abergele,Town,Wales
Abergorlech,Village,Wales
Abergwaun,Town,Wales
Abergwesyn,Hamlet,Wales
Abergwili,Village,Wales
Abergwynfi,Village,Wales
Abergwyngregyn,Village,Wales
Abergynolwyn,Village,Wales
Aberhafesp,Village,Wales
Aberhonddu,Town,Wales
Aberhosan,Village,Wales
Aberkenfig,Village,Wales
Aberlady,Village,Scotland
Aberlemno,Hamlet,Scotland
Aberllefenni,Village,Wales
Aberllynfi,Village,Wales
Abermagwr,Hamlet,Wales
Abermaw,Town,Wales
Abermeurig,Hamlet,Wales
Abermorlais,"Suburban Area",Wales
Abernant,Hamlet,Wales
Abernant,"Suburban Area",Wales
Abernethy,Village,Scotland
Abernyte,Village,Scotland
Aberpennar,Town,Wales
Aberporth,Village,Wales
Aberriw,Village,Wales
Abersoch,Village,Wales
Abersychan,Town,Wales
Abertawe,City,Wales
Aberteifi,Town,Wales
Aberthin,Village,Wales
Abertridwr,Village,Wales
Abertridwr,Village,Wales
Abertyleri,Town,Wales
Abertysswg,Village,Wales
Aberuthven,Village,Scotland
Aberyscir,Hamlet,Wales
Aberystwyth,Town,Wales
"Abhainn Suidhe",Hamlet,Scotland
Abingdon-on-Thames,Town,England
"Abinger Bottom",Hamlet,England
"Abinger Common",Village,England
"Abinger Hammer",Village,England
Abington,"Suburban Area",England
Abington,Village,Scotland
"Abington Pigotts",Village,England
"Abington Vale","Suburban Area",England
Abingworth,Hamlet,England
Ablington,Village,England
Ablington,Hamlet,England
Abney,Hamlet,England
"Above Church",Hamlet,England
Aboyne,Village,Scotland
"Abraham Heights","Suburban Area",England
Abram,Village,England
"Abram Brow","Suburban Area",England
Abriachan,"Other Settlement",Scotland
Abridge,Village,England
Abronhill,"Suburban Area",Scotland
Abshot,Hamlet,England
Abson,Hamlet,England
Abthorpe,Village,England
Abune-the-Hill,"Other Settlement",Scotland
Abwell,Hamlet,England
Aby,Village,England
Acairseid,Hamlet,Scotland
"Acaster Malbis",Village,England
"Acaster Selby","Other Settlement",England
Accrington,Town,England
Acha,Hamlet,Scotland
"Achadh Dubhaird","Other Settlement",Scotland
"Achadh Fairidh","Other Settlement",Scotland
"Achadh a'Choirce",Village,Scotland
"Achadh na Seileach",Hamlet,Scotland
"Achadh na Sine","Other Settlement",Scotland
Achahoish,Hamlet,Scotland
Achalone,"Other Settlement",Scotland
Achamore,Village,Scotland
Achanalt,Hamlet,Scotland
Achandunie,Hamlet,Scotland
Achantraid,Village,Scotland
Achany,Hamlet,Scotland
Achaphubuil,Hamlet,Scotland
Acharn,Village,Scotland
Achastle,Hamlet,Scotland
"Achavandra Muir","Other Settlement",Scotland
Achavanich,"Other Settlement",Scotland
Achavar,"Other Settlement",Scotland
Achddu,"Suburban Area",Wales
Achduchil,Hamlet,Scotland
Acheninver,"Other Settlement",Scotland
Achfrish,Hamlet,Scotland
Achgarve,Hamlet,Scotland
Achiemore,Hamlet,Scotland
Achiltibuie,Village,Scotland
Achilty,Hamlet,Scotland
Achina,Hamlet,Scotland
Achindown,"Other Settlement",Scotland
Achinduich,Hamlet,Scotland
Achingills,"Other Settlement",Scotland
Achintee,Hamlet,Scotland
Achlonan,"Suburban Area",Scotland
Achlorachan,Hamlet,Scotland
Achluachrach,Hamlet,Scotland
Achlyness,Hamlet,Scotland
Achmelvich,"Other Settlement",Scotland
Achmore,Village,Scotland
Achmore,"Other Settlement",Scotland
Achnabat,"Suburban Area",Scotland
Achnacarnin,Hamlet,Scotland
Achnacarry,Hamlet,Scotland
Achnacloich,"Other Settlement",Scotland
Achnaconeran,"Other Settlement",Scotland
Achnacroish,Hamlet,Scotland
Achnagarron,Hamlet,Scotland
Achnagoul,"Other Settlement",Scotland
Achnaha,Hamlet,Scotland
Achnahanat,"Other Settlement",Scotland
Achnahuaigh,"Suburban Area",Scotland
Achnairn,Hamlet,Scotland
Achnamara,Village,Scotland
Achnandarach,Hamlet,Scotland
Achnavast,Hamlet,Scotland
Achosnich,Hamlet,Scotland
Achow,"Other Settlement",Scotland
Achranich,"Other Settlement",Scotland
Achreamie,"Other Settlement",Scotland
Achriesgill,Hamlet,Scotland
Achrimsdale,Hamlet,Scotland
Achscrabster,"Other Settlement",Scotland
Achterneed,Hamlet,Scotland
Achtoty,"Suburban Area",Scotland
Achurch,Hamlet,England
Achuvoldrach,"Other Settlement",Scotland
Ackenthwaite,Village,England
Ackergill,Hamlet,Scotland
Ackergillshore,Hamlet,Scotland
"Ackers Crossing",Hamlet,England
Acklam,"Suburban Area",England
Acklam,Village,England
Ackleton,Village,England
Acklington,Village,England
Ackton,Village,England
"Ackworth Moor Top",Village,England
Acle,Village,England
"Acocks Green","Suburban Area",England
Acol,Village,England
Acomb,Village,England
Acomb,"Suburban Area",England
Aconbury,"Other Settlement",England
Acre,Village,England
Acre,"Suburban Area",England
Acre,"Suburban Area",Scotland
"Acre Ridge Estate","Other Settlement",England
Acrefair,Village,Wales
Acres,"Other Settlement",England
"Acres Nook","Suburban Area",England
Acresford,Village,England
Acrise,Hamlet,England
Acton,Village,England
Acton,Village,England
Acton,Hamlet,England
Acton,Village,England
Acton,Village,England
Acton,Town,England
Acton,"Other Settlement",England
Acton,Hamlet,England
Acton,"Suburban Area",Wales
"Acton Beauchamp",Hamlet,England
"Acton Bridge",Village,England
"Acton Burnell",Village,England
"Acton Gate","Other Settlement",England
"Acton Green",Hamlet,England
"Acton Green","Suburban Area",England
"Acton Pigott",Hamlet,England
"Acton Reynald",Hamlet,England
"Acton Round",Hamlet,England
"Acton Scott",Hamlet,England
"Acton Trussell",Village,England
"Acton Turville",Village,England
"Adam's Green",Hamlet,England
Adambrae,"Suburban Area",Scotland
"Adams Street","Other Settlement",Wales
Adamsdown,"Suburban Area",Wales
Adbaston,Village,England
Adber,Hamlet,England
Adbolton,"Suburban Area",England
Adbury,Hamlet,England
"Adder's Moss",Village,England
Adderbury,Village,England
Adderley,Village,England
"Adderley Green","Suburban Area",England
Addiebrownhill,Village,Scotland
Addiewell,Village,Scotland
Addingford,"Suburban Area",England
Addingham,Village,England
"Addingham Moorside","Other Settlement",England
Addington,Hamlet,England
Addington,"Suburban Area",England
Addington,"Suburban Area",England
Addington,Village,England
Addiscombe,"Suburban Area",England
Addlestead,Hamlet,England
Addlestone,Town,England
Addlestonemoor,"Suburban Area",England
Addlethorpe,Village,England
Adel,"Suburban Area",England
"Adel East Moor","Suburban Area",England
Adelphi,"Suburban Area",England
Adendale,Hamlet,Scotland
Adeney,Hamlet,England
Adeyfield,"Suburban Area",England
Adfa,Village,Wales
Adforton,Village,England
Adgestone,Village,England
Adisham,Village,England
Adlestrop,Village,England
"Adley Moor",Hamlet,England
Adlingfleet,Village,England
Adlington,Town,England
Adlington,Village,England
Admaston,"Suburban Area",England
Admaston,Hamlet,England
Admington,Hamlet,England
Adpar,"Suburban Area",Wales
Adsborough,Village,England
Adscombe,Hamlet,England
Adsdean,Hamlet,England
Adstock,Village,England
Adstone,Village,England
Adswood,"Suburban Area",England
Adversane,Village,England
Advie,"Other Settlement",Scotland
Adwalton,"Suburban Area",England
Adwell,Hamlet,England
"Adwick le Street",Town,England
"Adwick upon Dearne",Village,England
Ae,Village,Scotland
"Ae Bridgend",Hamlet,Scotland
Affetside,Village,England
Affpuddle,Village,England
"Afon Eitha","Suburban Area",Wales
"Afon Wen",Hamlet,Wales
Afon-wen,Village,Wales
Afton,"Suburban Area",England
"Afton Bridgend","Suburban Area",Scotland
"Agar Nook","Suburban Area",England
Agbrigg,"Suburban Area",England
Aggborough,"Suburban Area",England
Agglethorpe,Hamlet,England
Aglionby,Village,England
Aigburth,"Suburban Area",England
"Aigburth Vale","Suburban Area",England
Aignish,Village,Scotland
Aike,Hamlet,England
Aikerness,Hamlet,Scotland
Aikers,"Other Settlement",Scotland
Aiketgate,Hamlet,England
Aikhead,Hamlet,England
Aikrigg,"Suburban Area",England
Aikton,Village,England
Ailbhinn,"Other Settlement",Scotland
Ailby,Hamlet,England
Ailscroft,Hamlet,England
Ailsworth,Village,England
"Aimes Green",Hamlet,England
"Ainderby Quernhow",Hamlet,England
"Ainderby Steeple",Village,England
"Aingers Green",Village,England
"Ainley Top","Suburban Area",England
Ainsdale,"Suburban Area",England
Ainstable,Village,England
Ainsworth,Village,England
Ainthorpe,Village,England
Aintree,Village,England
Aird,Village,Scotland
Aird,"Other Settlement",Scotland
Aird,Hamlet,Scotland
Aird,"Other Settlement",Scotland
Aird,"Other Settlement",Scotland
"Aird Tong",Village,Scotland
Airdens,"Other Settlement",Scotland
Airdrie,Town,Scotland
Airdriehill,"Other Settlement",Scotland
Airds,"Suburban Area",Scotland
"Airds Bay",Hamlet,Scotland
Airedale,"Suburban Area",England
Aireworth,"Suburban Area",England
"Airidh a Bhruaich","Other Settlement",Scotland
"Airigh Bheagaig","Other Settlement",Scotland
Airlie,Hamlet,Scotland
Airmyn,Village,England
Airntully,Hamlet,Scotland
Airor,"Other Settlement",Scotland
Airth,Village,Scotland
Airton,Village,England
Aisby,Hamlet,England
Aisby,Village,England
Aisgernis,"Other Settlement",Scotland
Aish,Village,England
Aish,Hamlet,England
Aisholt,Hamlet,England
Aisig,Hamlet,Scotland
Aiskew,Village,England
Aislaby,Village,England
Aislaby,Village,England
Aislaby,Village,England
Aisthorpe,Village,England
Aith,Village,Scotland
Aith,Hamlet,Scotland
Aith,Hamlet,Scotland
Aith,Hamlet,Scotland
Aithsetter,Hamlet,Scotland
Akeld,Hamlet,England
Akeley,Village,England
Akenham,Hamlet,England
Akroydon,"Suburban Area",England
"Alameda Place","Other Settlement",England
Albany,"Suburban Area",England
Albaston,"Suburban Area",England
Alberbury,Village,England
"Albert Hill","Suburban Area",England
"Albert Town","Suburban Area",Wales
"Albert Village","Suburban Area",England
Albion,"Suburban Area",England
Albourne,Village,England
"Albourne Green",Village,England
"Albourne Street",Village,England
Albrighton,Hamlet,England
Albrighton,Village,England
Alburgh,Village,England
"Alburgh Street",Village,England
"Alburne Park","Suburban Area",Scotland
Albury,Hamlet,England
Albury,Village,England
Albury,Village,England
"Albury End",Hamlet,England
"Albury Heath",Hamlet,England
Alby,Hamlet,England
"Alby Hill",Village,England
Alcaig,Village,Scotland
Alcaston,Hamlet,England
Alcester,Town,England
Alcester,"Suburban Area",England
"Alcester Lane's End","Suburban Area",England
Alciston,Village,England
Alcombe,"Suburban Area",England
Alcombe,Hamlet,England
Alconbury,Village,England
"Alconbury Weston",Village,England
Aldborough,Village,England
Aldborough,Village,England
"Aldborough Hatch","Suburban Area",England
Aldbourne,Village,England
Aldbrough,Village,England
"Aldbrough St John",Village,England
Aldbury,Village,England
Aldcliffe,Village,England
Aldclune,Hamlet,Scotland
Aldeburgh,Town,England
Aldeby,Village,England
Aldenham,Village,England
"Alder Forest","Suburban Area",England
"Alder Moor",Village,England
"Alder Root","Suburban Area",England
Alderbrook,"Suburban Area",England
Alderbury,Village,England
Alderford,Hamlet,England
Alderford,Hamlet,England
Alderholt,Village,England
Alderley,Hamlet,England
"Alderley Edge",Village,England
"Alderman's Green","Suburban Area",England
Aldermaston,Village,England
"Aldermaston Soke",Village,England
"Aldermaston Wharf",Village,England
Alderminster,Village,England
Aldermoor,"Suburban Area",England
Alders,Hamlet,England
Aldersbrook,"Suburban Area",England
"Aldersey Green",Hamlet,England
"Aldersey Park",Hamlet,England
Aldershot,Town,England
Aldersley,"Suburban Area",England
Alderton,Hamlet,England
Alderton,Village,England
Alderton,Village,England
Alderton,Village,England
Alderton,Village,England
"Alderton Fields",Hamlet,England
Alderwasley,Village,England
"Alderwood Terrace","Other Settlement",England
Aldfield,Hamlet,England
Aldford,Village,England
Aldham,Village,England
Aldham,Village,England
Aldie,Hamlet,Scotland
Aldingbourne,Village,England
Aldingham,Hamlet,England
Aldington,Village,England
Aldington,Village,England
"Aldington Frith",Village,England
Aldochlay,Hamlet,Scotland
Aldon,Hamlet,England
Aldoth,Hamlet,England
Aldreth,Village,England
Aldridge,Town,England
Aldringham,Village,England
Aldrington,"Suburban Area",England
Aldsworth,Village,England
Aldsworth,Hamlet,England
Aldwark,Village,England
Aldwark,Hamlet,England
Aldwarke,"Suburban Area",England
Aldwick,Hamlet,England
Aldwick,"Suburban Area",England
Aldwincle,Village,England
Aldworth,Hamlet,England
"Alexandra Park","Suburban Area",England
"Alexandra Park","Suburban Area",England
Alexandria,Town,Scotland
Aley,Hamlet,England
"Aley Green",Village,England
Alfardisworthy,Hamlet,England
Alfington,Village,England
Alfold,Village,England
"Alfold Bars",Village,England
"Alfold Crossways",Village,England
Alford,Village,England
Alford,Village,England
Alford,Town,Scotland
Alfreton,Town,England
Alfrick,Village,England
"Alfrick Pound",Hamlet,England
Alfriston,Village,England
Algarkirk,Village,England
Alhampton,Village,England
Alkborough,Village,England
Alkerton,Village,England
Alkham,Village,England
Alkington,Hamlet,England
Alkmonton,Hamlet,England
"Alkrington Garden Village","Suburban Area",England
"All Cannings",Village,England
"All Saints","Suburban Area",England
"All Saints",Village,England
"All Saints' South Elmham",Village,England
"All Stretton",Village,England
Allaleigh,Hamlet,England
Allandale,Village,Scotland
Allanton,Village,Scotland
Allanton,Village,Scotland
Allanton,Village,Scotland
Allardice,Hamlet,Scotland
Allaston,"Suburban Area",England
Allathasdal,Hamlet,Scotland
Allbrook,"Suburban Area",England
"Allen End",Hamlet,England
"Allen's Green","Suburban Area",England
"Allen's Green",Village,England
"Allendale Town",Village,England
Allenheads,Village,England
Allensford,Hamlet,England
Allensmore,Hamlet,England
Allenwood,Hamlet,England
Aller,Hamlet,England
Aller,Village,England
Aller,Hamlet,England
"Aller Park","Suburban Area",England
Allerby,Village,England
Allercombe,Hamlet,England
Allerdene,"Suburban Area",England
Allerford,Village,England
Allerford,Hamlet,England
Allerston,Village,England
Allerthorpe,Village,England
Allerton,"Suburban Area",England
Allerton,"Suburban Area",England
"Allerton Bywater",Village,England
"Allerton Mauleverer",Village,England
Allesley,"Suburban Area",England
"Allesley Green","Suburban Area",England
Allestree,"Suburban Area",England
Allexton,Hamlet,England
Alleytroyds,"Suburban Area",England
Allgreave,"Other Settlement",England
Allhallows,Village,England
Allhallows-on-Sea,Village,England
"Allimore Green",Hamlet,England
Allington,Village,England
Allington,Hamlet,England
Allington,Hamlet,England
Allington,Village,England
Allington,"Suburban Area",England
Allington,"Suburban Area",England
"Allington Bar",Hamlet,England
Allithwaite,Village,England
Alloa,Town,Scotland
Allonby,Village,England
Allostock,Village,England
Alloway,"Suburban Area",Scotland
Allowenshay,Hamlet,England
Allscott,Village,England
Allscott,"Other Settlement",England
Allt,Village,Wales
"Allt a' Chruinn",Hamlet,Scotland
"Allt nan Sùgh",Hamlet,Scotland
Allt-yr-yn,"Suburban Area",Wales
Alltami,Village,Wales
"Alltan an t-Salainn","Suburban Area",Scotland
Alltmawr,"Other Settlement",Wales
Alltsigh,Hamlet,Scotland
Alltwalis,Village,Wales
Alltwen,Village,Wales
Alltyblaca,Village,Wales
"Allum Green",Hamlet,England
"Allwood Green",Hamlet,England
Alma,"Suburban Area",England
Almeley,Village,England
"Almeley Wootton",Hamlet,England
Almer,Hamlet,England
Almholme,Hamlet,England
Almington,Hamlet,England
"Alminstone Cross",Hamlet,England
Almodington,Village,England
Almondbank,Village,Scotland
Almondbury,"Suburban Area",England
"Almondbury Common","Suburban Area",England
Almondhill,Hamlet,Scotland
Almondsbury,Village,England
Almondvale,"Suburban Area",Scotland
"Almshouse Common","Suburban Area",England
"Almshouse Green","Other Settlement",England
"Almshouse Green",Hamlet,England
Alne,Village,England
"Alne End",Village,England
Alness,Town,Scotland
Alnessferry,Hamlet,Scotland
Alnham,Hamlet,England
Alnmouth,Village,England
Alnwick,Town,England
Alnwickhill,"Suburban Area",Scotland
Alperton,"Suburban Area",England
Alphamstone,Village,England
Alpheton,Village,England
Alphington,"Suburban Area",England
Alpington,Village,England
Alport,Hamlet,England
Alport,Hamlet,Wales
Alpraham,Village,England
Alresford,Village,England
Alrewas,Village,England
Alsager,Town,England
"Alsagers Bank",Village,England
Alscot,Hamlet,England
"Alsop en le Dale",Hamlet,England
Alston,Town,England
Alston,Hamlet,England
"Alston Sutton","Other Settlement",England
Alstone,"Suburban Area",England
Alstone,Village,England
Alstone,Village,England
Alstonefield,Village,England
Alswear,Hamlet,England
Alt,"Suburban Area",England
"Alt Hill",Hamlet,England
Altandhu,"Other Settlement",Scotland
Altarnun,Village,England
Altens,"Suburban Area",Scotland
Alterwall,"Other Settlement",Scotland
Altham,Village,England
Althorne,Village,England
Althorpe,Village,England
Altnaharra,Hamlet,Scotland
Altofts,"Suburban Area",England
Alton,Village,England
Alton,Village,England
Alton,Hamlet,England
Alton,Town,England
"Alton Barnes",Village,England
"Alton Pancras",Village,England
"Alton Priors",Village,England
Altonhill,"Suburban Area",Scotland
Altonside,Hamlet,Scotland
Altrincham,Town,England
Alturlie,Hamlet,Scotland
"Alum Chine","Suburban Area",England
"Alum Rock","Suburban Area",England
"Alum Waters",Hamlet,England
Alva,Town,Scotland
Alvanley,Village,England
Alvaston,"Suburban Area",England
Alvechurch,Village,England
Alvecote,Village,England
Alvediston,Hamlet,England
Alveley,Village,England
Alverdiscott,Hamlet,England
Alverstoke,"Suburban Area",England
Alverstone,Village,England
"Alverstone Garden Village",Village,England
Alverthorpe,"Suburban Area",England
Alverton,Hamlet,England
Alverton,"Suburban Area",England
Alves,Village,Scotland
Alvescot,Village,England
Alveston,Village,England
Alveston,Village,England
"Alveston Down","Suburban Area",England
Alvie,"Other Settlement",Scotland
Alvingham,Village,England
Alvington,Village,England
Alvington,"Suburban Area",England
Alwalton,"Suburban Area",England
Alway,"Suburban Area",Wales
Alweston,Village,England
Alwington,Hamlet,England
Alwinton,Hamlet,England
Alwoodley,"Suburban Area",England
"Alwoodley Gates","Suburban Area",England
"Alwoodley Park","Suburban Area",England
Alyth,Town,Scotland
"Am Baile",Hamlet,Scotland
"Am Blàran Odhar",Village,Scotland
"Am Ploc",Village,Scotland
Amatnatua,Hamlet,Scotland
Ambaston,Village,England
"Amber Hill",Village,England
Ambergate,Village,England
Amberley,"Other Settlement",England
Amberley,Village,England
Amberley,Village,England
Amble,Town,England
Amblecote,"Suburban Area",England
Ambleside,Town,England
Ambleston,Village,Wales
Ambrosden,Village,England
Amcotts,Village,England
"Amen Corner","Suburban Area",England
"America Moor","Suburban Area",England
Amersham,Town,England
"Amersham Common","Suburban Area",England
"Amersham Old Town","Suburban Area",England
"Amersham on the Hill","Suburban Area",England
Amerton,Hamlet,England
Amesbury,Hamlet,England
Amesbury,Town,England
Ameysford,"Suburban Area",England
Amington,"Suburban Area",England
Amisfield,Village,Scotland
Amlwch,Town,Wales
Ammerham,Hamlet,England
Amotherby,Village,England
Ampfield,Village,England
Ampleforth,Village,England
"Ampney Crucis",Village,England
"Ampney St Mary",Village,England
"Ampney St Peter",Village,England
Amport,Village,England
Ampthill,Town,England
Ampton,Hamlet,England
Amroth,Village,Wales
Amulree,Hamlet,Scotland
Amwell,Hamlet,England
"An Cadha Ruadh",Hamlet,Scotland
"An Cárn Dubh",Village,Scotland
"An Druim Beag",Village,Scotland
"An Fasadh Feàrna","Other Settlement",Scotland
"An Fhadail Dubh",Hamlet,Scotland
"An Gearraidh Mòr",Hamlet,Scotland
"An Leth-Pheighinn","Suburban Area",Scotland
"An Nead",Hamlet,Scotland
"An Saìlean",Village,Scotland
"An Sruthan",Hamlet,Scotland
"An Teanga",Village,Scotland
"An Torran Uaine",Hamlet,Scotland
"An t-Aodann Ban","Other Settlement",Scotland
"An t-Ob",Village,Scotland
"An t-Ollach",Hamlet,Scotland
"An t-Àth Leathann",Village,Scotland
"An t-Òrd",Hamlet,Scotland
"An Àird Dhorcha",Hamlet,Scotland
"An Àrd","Suburban Area",Scotland
Anaheilt,"Suburban Area",Scotland
Ancaster,Village,England
Anchor,"Suburban Area",England
Anchor,Hamlet,England
"Anchor Corner",Hamlet,England
"Anchorage Hill","Suburban Area",England
"Anchorage Park","Suburban Area",England
Anchorsholme,"Suburban Area",England
Ancoats,"Suburban Area",England
Ancroft,Hamlet,England
Ancrum,Village,Scotland
Ancton,"Suburban Area",England
Ancumtoun,"Other Settlement",Scotland
Anderby,Village,England
"Anderby Creek",Village,England
Andersea,Hamlet,England
Anderson,Village,England
Anderston,"Suburban Area",Scotland
Anderton,"Suburban Area",England
Anderton,"Suburban Area",England
"Andertons Mill",Village,England
Andover,Town,England
"Andover Down",Village,England
Andoversford,Village,England
"Andrew's Hill","Suburban Area",England
Andwell,Hamlet,England
Anelog,"Other Settlement",Wales
Anerley,"Suburban Area",England
Anfield,"Suburban Area",England
Angarrack,Village,England
Angersleigh,Hamlet,England
Angerton,Village,England
Angle,Village,Wales
"Anglefield Corner",Village,England
Angmering,Village,England
Angram,Hamlet,England
Angram,Hamlet,England
Anick,Hamlet,England
Anlaby,Village,England
"Anlaby Common","Suburban Area",England
"Anlaby Park","Suburban Area",England
Anmer,Village,England
Anmore,Hamlet,England
"Anna Valley",Village,England
Annan,Town,Scotland
Annaside,"Other Settlement",England
Annat,Hamlet,Scotland
Annat,Hamlet,Scotland
Annathill,Village,Scotland
Annbank,Village,Scotland
Annesley,"Suburban Area",England
"Annesley Lane End","Suburban Area",England
"Annesley Woodhouse",Village,England
"Annesons Corner",Hamlet,England
"Annfield Plain",Town,England
Anniesland,"Suburban Area",Scotland
Annishader,Hamlet,Scotland
Annitsford,"Suburban Area",England
Annochie,"Other Settlement",Scotland
Annscroft,Village,England
Ansdell,"Suburban Area",England
Ansdore,Hamlet,England
"Ansells End",Hamlet,England
Ansford,"Suburban Area",England
Ansley,Village,England
"Ansley Common","Suburban Area",England
Anslow,Village,England
"Anslow Common",Hamlet,England
"Anslow Gate",Hamlet,England
Ansteadbrook,Hamlet,England
Anstey,Village,England
Anstey,"Suburban Area",England
Anstey,Village,England
Anstruther,Town,Scotland
"Anstruther Easter","Suburban Area",Scotland
"Anstruther Wester","Suburban Area",Scotland
Ansty,Village,England
Ansty,Village,England
Ansty,Village,England
Ansty,Village,England
"Ansty Cross",Hamlet,England
"Anthill Common","Suburban Area",England
Anthorn,Village,England
Antingham,Village,England
"Anton's Gowt",Village,England
Antonshill,"Suburban Area",Scotland
Antony,Village,England
"Antony Passage",Hamlet,England
Antrobus,Village,England
Antron,Hamlet,England
"Anvil Green",Hamlet,England
Anwick,Village,England
Anwoth,Hamlet,Scotland
Aonachan,"Other Settlement",Scotland
Apedale,Hamlet,England
"Apes Dale",Hamlet,England
Apethorpe,Village,England
Apeton,Hamlet,England
Apley,Hamlet,England
Apperknowle,Village,England
Apperley,Village,England
"Apperley Bridge","Suburban Area",England
Appersett,Hamlet,England
Appietown,"Suburban Area",Scotland
Appin,Village,Scotland
Appleby,Village,England
"Appleby Magna",Village,England
"Appleby Parva",Hamlet,England
Appleby-in-Westmorland,Town,England
Applecross,Village,Scotland
Appledore,Village,England
Appledore,Hamlet,England
Appledore,Village,England
"Appledore Heath",Village,England
Appleford-on-Thames,Village,England
Applegarth,Hamlet,England
Applemore,Hamlet,England
Appleshaw,Village,England
Applethwaite,Village,England
Appleton,"Suburban Area",England
Appleton,Village,England
"Appleton Park","Suburban Area",England
"Appleton Roebuck",Village,England
"Appleton Thorn",Village,England
"Appleton Wiske",Village,England
Appleton-le-Moors,Village,England
Appleton-le-Street,Village,England
Appletree,Hamlet,England
Appletree,Hamlet,Wales
Appletreehall,Hamlet,Scotland
Appletreewick,Village,England
Appley,Hamlet,England
Appley,"Suburban Area",England
"Appley Bridge",Village,England
"Appley Corner",Hamlet,England
Appspond,"Other Settlement",England
"Apse Heath",Village,England
"Apsey Green",Hamlet,England
Apsley,"Suburban Area",England
"Apsley End",Village,England
Apuldram,Hamlet,England
Aqueduct,"Suburban Area",England
Aquhythie,Hamlet,Scotland
Arabella,Village,Scotland
Arberth,Town,Wales
Arbirlot,Village,Scotland
Arborfield,Village,England
